TradingDate_x,CellComputerNo,SiteCarParkNumber_x,DateTime,TicketType,Entries,Exits,TradingDate_y,TranDate,SiteCarParkNumber_y,DeviceNumber,CreditCardCompany,KPIFileType,KPISubType,PaymentMethod,QntTransactions,TotalTurnover
05.06.2024,1029,1067,04.06.2024 00:00:00,3,0,0,04.06.2024,04.06.2024,1068,201,,9,3,2,7,500
05.06.2024,1029,1067,04.06.2024 00:00:00,3,0,0,04.06.2024,04.06.2024,1068,101,,13,2,0,11,0
05.06.2024,1029,1067,04.06.2024 00:00:00,3,0,0,04.06.2024,04.06.2024,1068,201,,13,2,0,13,0
05.06.2024,1029,1067,04.06.2024 00:00:00,3,0,0,04.06.2024,04.06.2024,1068,201,,14,2,0,6,0
05.06.2024,1029,1068,04.06.2024 14:00:00,2,0,0,04.06.2024,04.06.2024,1068,201,,9,3,2,7,500
05.06.2024,1029,1068,04.06.2024 14:00:00,2,0,0,04.06.2024,04.06.2024,1068,101,,13,2,0,11,0
05.06.2024,1029,1068,04.06.2024 14:00:00,2,0,0,04.06.2024,04.06.2024,1068,201,,13,2,0,13,0
05.06.2024,1029,1068,04.06.2024 14:00:00,2,0,0,04.06.2024,04.06.2024,1068,201,,14,2,0,6,0
